category,rank,geography,score
experience,85,Lesotho,0.5103668012
overall,73,Liberia,1.2587492536
fundamentals,81,Liberia,1.4928339773
opportunities,44,Liberia,0.9972464925
experience,56,Liberia,1.0520825674
overall,97,Libya,0.7355258596
fundamentals,102,Libya,0.6368696068
opportunities,12,Libya,1.4503397384
experience,96,Libya,0.2180244863
overall,64,Madagascar,1.4925636399
fundamentals,59,Madagascar,1.8999938907
opportunities,39,Madagascar,1.0308174336
experience,50,Madagascar,1.1394493447
overall,76,Malawi,1.2169098894
fundamentals,68,Malawi,1.7260808324
opportunities,74,Malawi,0.7180228895
experience,79,Malawi,0.6974550034
overall,13,Malaysia,2.0770636517
fundamentals,12,Malaysia,2.8041111807
opportunities,29,Malaysia,1.1318408594
experience,29,Malaysia,1.5681913863
overall,68,Mali,1.3706082369
fundamentals,58,Mali,1.9034286995
opportunities,53,Mali,0.8760618819
experience,72,Mali,0.7995136669
overall,81,Mauritania,1.1581710451
fundamentals,89,Mauritania,1.3239388708
opportunities,100,Mauritania,0.36313071
experience,26,Mauritania,1.6216757288
overall,7,Mexico,2.222084067
fundamentals,10,Mexico,2.9454701163
opportunities,15,Mexico,1.3428341787
experience,24,Mexico,1.6545618567
overall,80,Moldova,1.1745633243
fundamentals,83,Moldova,1.4709189502
opportunities,42,Moldova,1.0032842694
experience,75,Moldova,0.7531311275
overall,31,Mongolia,1.7573543102
fundamentals,48,Mongolia,2.0853884848
opportunities,26,Mongolia,1.1721532562
experience,22,Mongolia,1.6864870149
overall,18,Morocco,1.969908208
fundamentals,14,Morocco,2.7793407666
opportunities,50,Morocco,0.8970113001
experience,37,Morocco,1.4239399989
overall,70,Mozambique,1.3118117449
fundamentals,75,Mozambique,1.5530712662
opportunities,64,Mozambique,0.7705199506
experience,39,Mozambique,1.3705844965
overall,38,Myanmar,1.7086673638
fundamentals,54,Myanmar,2.0038328102
opportunities,7,Myanmar,1.5735721259
experience,44,Myanmar,1.2534317086
overall,19,Namibia,1.9663010825
fundamentals,24,Namibia,2.5276417469
opportunities,31,Namibia,1.1138336525
experience,21,Namibia,1.6960871839
overall,23,Nepal,1.8859666052
fundamentals,37,Nepal,2.2875118606
opportunities,89,Nepal,0.5669257972
experience,5,Nepal,2.4019169025
overall,47,Nicaragua,1.6341262091
fundamentals,57,Nicaragua,1.9204181998
opportunities,63,Nicaragua,0.7800022367
experience,14,Nicaragua,1.9156661999
overall,79,Niger,1.1763602479
fundamentals,73,Niger,1.6819110876
opportunities,41,Niger,1.0164012427
experience,91,Niger,0.3252175735
overall,24,Nigeria,1.8672429603
fundamentals,21,Nigeria,2.5416705628
opportunities,27,Nigeria,1.1659550269
experience,46,Nigeria,1.2196756888
overall,46,Oman,1.6512041982
fundamentals,23,Oman,2.5313182179
opportunities,58,Oman,0.8329707461
experience,78,Oman,0.709209611
overall,34,Pakistan,1.7384918945
fundamentals,28,Pakistan,2.4628685588
opportunities,54,Pakistan,0.8697125527
experience,49,Pakistan,1.1585179077
overall,36,Panama,1.7163308764
fundamentals,22,Panama,2.533371783
opportunities,81,Panama,0.660164155
experience,51,Panama,1.1384157845
overall,100,Paraguay,0.6581898273
fundamentals,94,Paraguay,1.0936868687
opportunities,103,Paraguay,0.2403855717
experience,98,Paraguay,0.205
overall,15,Peru,2.0289342427
fundamentals,5,Peru,3.1568207224
opportunities,98,Peru,0.4006049208
experience,38,Peru,1.4014906052
overall,10,Philippines,2.1599294761
fundamentals,9,Philippines,2.9504360281
opportunities,25,Philippines,1.1756988793
experience,30,Philippines,1.563146969
overall,69,Russia,1.3335530627
fundamentals,71,Russia,1.6951751671
opportunities,59,Russia,0.8308336922
experience,52,Russia,1.1130282243
overall,11,Rwanda,2.1482870071
fundamentals,52,Rwanda,2.0340254762
opportunities,35,Rwanda,1.0785473792
experience,1,Rwanda,3.446549697
overall,49,Saudi Arabia,1.6187626991
fundamentals,49,Saudi Arabia,2.0848335227
opportunities,16,Saudi Arabia,1.3154632672
experience,61,Saudi Arabia,0.9899204837
overall,20,Senegal,1.9578300918
fundamentals,26,Senegal,2.5054257215
opportunities,23,Senegal,1.208126588
experience,27,Senegal,1.6123423361
overall,35,Serbia,1.7316785951
fundamentals,15,Serbia,2.6439580916
opportunities,75,Serbia,0.7141596124
experience,64,Serbia,0.9246385849
overall,45,Sierra Leone,1.6594276339
fundamentals,74,Sierra Leone,1.5787605321
opportunities,43,Sierra Leone,0.9990456582
experience,4,Sierra Leone,2.4811438132
overall,55,Singapore,1.566575589
fundamentals,32,Singapore,2.379310327
opportunities,94,Singapore,0.4994689637
experience,60,Singapore,1.0082127381
overall,90,Somalia,0.9422171816
fundamentals,91,Somalia,1.2077922078
opportunities,45,Somalia,0.9453676356
experience,90,Somalia,0.4079166754
overall,44,South Africa,1.6797764015
fundamentals,42,South Africa,2.2317000376
opportunities,69,South Africa,0.7493035932
experience,33,South Africa,1.5064019377
overall,92,South Sudan,0.9342884184
fundamentals,100,South Sudan,0.895959596
opportunities,28,South Sudan,1.1388606441
experience,71,South Sudan,0.8063738374
overall,28,Sri Lanka,1.8166284293
fundamentals,33,Sri Lanka,2.3726049413
opportunities,37,Sri Lanka,1.0596132633
experience,34,Sri Lanka,1.4616905712
overall,102,Sudan,0.5631338967
fundamentals,101,Sudan,0.8688383838
opportunities,101,Sudan,0.2687509696
experience,95,Sudan,0.2461078495
overall,8,Taiwan,2.215485298
fundamentals,7,Taiwan,3.0209483676
opportunities,5,Taiwan,1.622844734
experience,47,Taiwan,1.1971997228
overall,87,Tajikistan,1.0591000539
fundamentals,84,Tajikistan,1.4443245368
opportunities,57,Tajikistan,0.8412706093
experience,86,Tajikistan,0.5064805327
overall,63,Tanzania,1.4996274866
fundamentals,47,Tanzania,2.0957495563
opportunities,34,Tanzania,1.0822484769
experience,76,Tanzania,0.724762357
overall,6,Thailand,2.2447545871
fundamentals,2,Thailand,3.3656488465
opportunities,77,Thailand,0.7131896844
experience,31,Thailand,1.5345309712
overall,58,Togo,1.5546229525
fundamentals,20,Togo,2.5636678752
opportunities,83,Togo,0.6380821961
experience,89,Togo,0.4530738636
overall,29,Tunisia,1.8076416358
fundamentals,29,Tunisia,2.4603514538
opportunities,11,Tunisia,1.4736861678
experience,68,Tunisia,0.8361774678
overall,27,Turkey,1.8188030891
fundamentals,36,Turkey,2.3134840845
opportunities,40,Turkey,1.0244122474
experience,25,Turkey,1.6238319402
overall,103,Turkmenistan,0.465690565
fundamentals,103,Turkmenistan,0.510479798
opportunities,73,Turkmenistan,0.7250673681
experience,100,Turkmenistan,0.116735296
overall,40,Uganda,1.7043918438
fundamentals,38,Uganda,2.28635989
opportunities,91,Uganda,0.5618149622
experience,23,Uganda,1.6830326333
overall,56,Ukraine,1.5662462996
fundamentals,55,Ukraine,1.9878023674
opportunities,32,Ukraine,1.1093728049
experience,48,Ukraine,1.1800076588
overall,14,United Arab Emirates,2.0334776395
fundamentals,19,United Arab Emirates,2.617275469
opportunities,70,United Arab Emirates,0.7481027773
experience,10,United Arab Emirates,2.1512568426
overall,16,Uruguay,2.027377051
fundamentals,34,Uruguay,2.3639238149
opportunities,79,Uruguay,0.6837763833
experience,3,Uruguay,2.6978841908
overall,96,Uzbekistan,0.747804095
fundamentals,93,Uzbekistan,1.1010096771
opportunities,86,Uzbekistan,0.5896163642
experience,99,Uzbekistan,0.1995806615
overall,39,Vietnam,1.7082340744
fundamentals,45,Vietnam,2.1493744715
opportunities,17,Vietnam,1.2879171465
experience,45,Vietnam,1.2462702082
overall,95,West Bank and Gaza,0.7548984183
fundamentals,98,West Bank and Gaza,0.9174627706
opportunities,88,West Bank and Gaza,0.5799909832
experience,80,West Bank and Gaza,0.6046771488
overall,22,Zambia,1.9066977736
fundamentals,16,Zambia,2.6411765687
opportunities,10,Zambia,1.4855239838
experience,66,Zambia,0.8589139731
overall,33,Zimbabwe,1.7447264332
fundamentals,40,Zimbabwe,2.2526459966
opportunities,14,Zimbabwe,1.3714332207
experience,53,Zimbabwe,1.1021805191
